input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
Want to set aside ten thousand for emergency fund next 15 Oct 2025.,10000,INR,10000.0,15 Oct 2025,0,emergency fund
I need 1200 by 25-12-2025 to buy a smartphone.,1200,INR,1200.0,25-12-2025,58,phone
I need ₹50000 by 15 Oct 2025 to buy a trip.,50000,INR,50000.0,15 Oct 2025,0,trip
Want to set aside Rs. 25000 for medical next over the next 3 months.,25000,INR,25000.0,over the next 3 months,90,medical
I need ₹2500 by in 6 months to buy a bike.,2500,INR,2500.0,in 6 months,180,bike
I'm aiming to save ₹1200 in 1 Jan 2026 for laptop.,1200,INR,1200.0,1 Jan 2026,65,laptop
Planning to put Rs. 1200 towards my savings within in 6 months.,1200,INR,1200.0,in 6 months,180,savings
Planning to put ₹2500 towards my phone within 25-12-2025.,2500,INR,2500.0,25-12-2025,58,phone
"Want to set aside 25,000 for bike next by 15 Oct 2025.",25000,INR,25000.0,by 15 Oct 2025,,bike
Can I save ₹1200 over the next 1 Jan 2026 for medical?,1200,INR,1200.0,1 Jan 2026,65,medical
Can I save 500 over the next July 2026 for rent?,500,INR,500.0,July 2026,246,rent
Want to set aside $10000 for savings next in 5 months.,10000,USD,10000.0,in 5 months,150,savings
Can I save Rs. 50000 over the next Oct 15 2025 for car?,50000,INR,50000.0,Oct 15 2025,0,car
Planning to put ₹25000 towards my car within 25-12-2025.,25000,INR,25000.0,25-12-2025,58,car
Planning to put Rs. 2500 towards my deposit within 1 Jan 2026.,2500,INR,2500.0,1 Jan 2026,65,deposit
Can I save $50000 over the next over the next 3 months for smartphone?,50000,USD,50000.0,over the next 3 months,90,phone
Planning to put 5k towards my savings within in 5 months.,5000,INR,5000.0,in 5 months,150,savings
Need $50000 for mobile by by 15 Oct 2025.,50000,USD,50000.0,by 15 Oct 2025,,phone
I'm aiming to save Rs. 2500 in by 15 Oct 2025 for mobile.,2500,INR,2500.0,by 15 Oct 2025,,phone
Planning to put ₹5000 towards my gift within this summer.,5000,INR,5000.0,this summer,,gift
"I need 2,500 by 15 Oct 2025 to buy a tuition.",2500,INR,2500.0,15 Oct 2025,0,tuition
Need twenty five thousand rupees for smartphone by 15 Oct 2025.,25000,INR,25000.0,15 Oct 2025,0,phone
Gotta save ₹2500 for medical ASAP.,2500,INR,2500.0,within 2 weeks,14,medical
Need five k for tuition by by 15 Oct 2025.,5,INR,5.0,by 15 Oct 2025,,tuition
Want to set aside $100000 for bike next in 5 months.,100000,USD,100000.0,in 5 months,150,bike
Want to set aside $2500 for tuition next this summer.,2500,USD,2500.0,this summer,,tuition
Gotta save $500 for vacation ASAP.,500,USD,500.0,within 2 weeks,14,vacation
Planning to put 1200 towards my bike within ASAP.,1200,INR,1200.0,ASAP,7,bike
I need $50000 by 15 Oct 2025 to buy a car.,50000,USD,50000.0,15 Oct 2025,0,car
I need ₹1200 by by 15 Oct 2025 to buy a emergency fund.,1200,INR,1200.0,by 15 Oct 2025,,emergency fund
Save $50000 for rent in in 5 months.,50000,USD,50000.0,in 5 months,150,rent
Planning to put $50000 towards my tuition within in 5 months.,50000,USD,50000.0,in 5 months,150,tuition
Gotta save Rs. 2500 for phone ASAP.,2500,INR,2500.0,in 6 months,180,phone
I need Rs. 2500 by by the end of December to buy a smartphone.,2500,INR,2500.0,by the end of December,,phone
"I'm aiming to save 50,000 in next year for emergency fund.",50000,INR,50000.0,next year,365,emergency fund
Planning to put Rs. 500 towards my tuition within in 6 months.,500,INR,500.0,in 6 months,180,tuition
Can I save ₹2500 over the next in 6 months for phone?,2500,INR,2500.0,in 6 months,180,phone
Planning to put twenty five thousand rupees towards my tuition within this summer.,25000,INR,25000.0,this summer,,tuition
"I'm aiming to save 25,000 in July 2026 for bike.",25000,INR,25000.0,July 2026,246,bike
"Can I save 100,000 over the next next year for rent?",100000,INR,100000.0,next year,365,rent
Gotta save 10k for trip ASAP.,10000,INR,10000.0,Oct 15 2025,0,trip
Want to set aside Rs. 2500 for phone next in 5 months.,2500,INR,2500.0,in 5 months,150,phone
Want to set aside ₹10000 for medical next next year.,10000,INR,10000.0,next year,365,medical
Gotta save 100000 for groceries ASAP.,100000,INR,100000.0,July 2026,246,groceries
I'm aiming to save fifteen thousand in in 6 months for gift.,15000,INR,15000.0,in 6 months,180,gift
Can I save ₹500 over the next in 10 days for mobile?,500,INR,500.0,in 10 days,10,phone
Planning to put 10k towards my tuition within in 6 months.,10000,INR,10000.0,in 6 months,180,tuition
Planning to put 100k towards my medical within within 2 weeks.,100000,INR,100000.0,within 2 weeks,14,medical
I need 1200 by in 5 months to buy a medical.,1200,INR,1200.0,in 5 months,150,medical
I'm aiming to save 50k in within 3 weeks for vacation.,50000,INR,50000.0,within 3 weeks,21,vacation
I'm aiming to save $10000 in 31 Dec 2025 for gift.,10000,USD,10000.0,31 Dec 2025,64,gift
I'm aiming to save 1200 in by the end of December for tuition.,1200,INR,1200.0,by the end of December,,tuition
Save ₹10000 for groceries in ASAP.,10000,INR,10000.0,ASAP,7,groceries
"I'm aiming to save 100,000 in by the end of December for groceries.",100000,INR,100000.0,by the end of December,,groceries
I need 25k by in 10 days to buy a trip.,25000,INR,25000.0,in 10 days,10,trip
Want to set aside $5000 for savings next July 2026.,5000,USD,5000.0,July 2026,246,savings
I'm aiming to save Rs. 25000 in 25-12-2025 for rent.,25000,INR,25000.0,25-12-2025,58,rent
Planning to put ₹50000 towards my gift within by the end of December.,50000,INR,50000.0,by the end of December,,gift
"I need 5,000 by ASAP to buy a deposit.",5000,INR,5000.0,ASAP,7,deposit
Save 5k for tuition in by 15 Oct 2025.,5000,INR,5000.0,by 15 Oct 2025,,tuition
Planning to put 50k towards my vacation within by the end of December.,50000,INR,50000.0,by the end of December,,vacation
Want to set aside ₹500 for bike next July 2026.,500,INR,500.0,July 2026,246,bike
Planning to put 500 towards my car within in 5 months.,500,INR,500.0,in 5 months,150,car
Planning to put fifteen thousand towards my bike within July 2026.,15000,INR,15000.0,July 2026,246,bike
"Gotta save 10,000 for deposit ASAP.",10000,INR,10000.0,this summer,,deposit
Save 50k for vacation in July 2026.,50000,INR,50000.0,July 2026,246,vacation
"Want to set aside 5,000 for smartphone next within 3 weeks.",5000,INR,5000.0,within 3 weeks,21,phone
I'm aiming to save ten thousand in 1 Jan 2026 for car.,10000,INR,10000.0,1 Jan 2026,65,car
Can I save $50000 over the next over the next 3 months for emergency fund?,50000,USD,50000.0,over the next 3 months,90,emergency fund
Need ₹1200 for laptop by 25-12-2025.,1200,INR,1200.0,by the end of December,,laptop
I'm aiming to save 5k in within 2 weeks for trip.,5000,INR,5000.0,within 2 weeks,14,trip
"Can I save 5,000 over the next in 6 months for medical?",5000,INR,5000.0,in 6 months,180,medical
Can I save 25000 over the next in 10 days for phone?,25000,INR,25000.0,in 10 days,10,phone
Gotta save Rs. 100000 for vacation ASAP.,100000,INR,100000.0,within 3 weeks,21,vacation
Planning to put 1200 towards my laptop within July 2026.,1200,INR,1200.0,July 2026,246,laptop
Can I save 5000 over the next 1 Jan 2026 for bike?,5000,INR,5000.0,1 Jan 2026,65,bike
Save 25k for tuition in this summer.,25000,INR,25000.0,this summer,,tuition
"Can I save 1,200 over the next within 2 weeks for laptop?",1200,INR,1200.0,within 2 weeks,14,laptop
Want to set aside 50k for mobile next ASAP.,50000,INR,50000.0,ASAP,7,phone
I need ₹1200 by within 3 weeks to buy a car.,1200,INR,1200.0,within 3 weeks,21,car
Gotta save $100000 for medical ASAP.,100000,USD,100000.0,within 3 weeks,21,medical
Need 10k for car by within 2 weeks.,10000,INR,10000.0,within 2 weeks,14,car
I'm aiming to save Rs. 10000 in over the next 3 months for trip.,10000,INR,10000.0,over the next 3 months,90,trip
Need Rs. 25000 for bike by in 6 months.,25000,INR,25000.0,in 6 months,180,bike
Gotta save 50k for rent ASAP.,50000,INR,50000.0,25-12-2025,58,rent
Want to set aside 5000 for phone next 25-12-2025.,5000,INR,5000.0,25-12-2025,58,phone
Want to set aside Rs. 100000 for laptop next this summer.,100000,INR,100000.0,this summer,,laptop
Need 1200 for groceries by over the next 3 months.,1200,INR,1200.0,over the next 3 months,90,groceries
"Want to set aside 1,200 for vacation next ASAP.",1200,INR,1200.0,ASAP,7,vacation
Save $10000 for groceries in in 6 months.,10000,USD,10000.0,in 6 months,180,groceries
I'm aiming to save ₹500 in 1 Jan 2026 for emergency fund.,500,INR,500.0,1 Jan 2026,65,emergency fund
Need $2500 for deposit by Oct 15 2025.,2500,USD,2500.0,Oct 15 2025,0,deposit
Can I save 5000 over the next within 3 weeks for car?,5000,INR,5000.0,within 3 weeks,21,car
Save ₹100000 for gift in within 3 weeks.,100000,INR,100000.0,within 3 weeks,21,gift
I'm aiming to save 100000 in in 6 months for car.,100000,INR,100000.0,in 6 months,180,car
Want to set aside $100000 for emergency fund next 15 Oct 2025.,100000,USD,100000.0,15 Oct 2025,0,emergency fund
Save Rs. 25000 for medical in this summer.,25000,INR,25000.0,this summer,,medical
I need $10000 by this summer to buy a medical.,10000,USD,10000.0,this summer,,medical
Want to set aside 10000 for vacation next in 6 months.,10000,INR,10000.0,in 6 months,180,vacation
I'm aiming to save ₹500 in July 2026 for smartphone.,500,INR,500.0,July 2026,246,phone
I need ₹10000 by by the end of December to buy a trip.,10000,INR,10000.0,by the end of December,,trip
Can I save 100k over the next ASAP for bike?,100000,INR,100000.0,ASAP,7,bike
Planning to put $50000 towards my groceries within within 2 weeks.,50000,USD,50000.0,within 2 weeks,14,groceries
Can I save Rs. 5000 over the next in 6 months for savings?,5000,INR,5000.0,in 6 months,180,savings
Can I save $25000 over the next within 3 weeks for savings?,25000,USD,25000.0,within 3 weeks,21,savings
Gotta save 25k for wedding ASAP.,25000,INR,25000.0,over the next 3 months,90,wedding
I'm aiming to save $2500 in next year for car.,2500,USD,2500.0,next year,365,car
Save 1200 for wedding in 15 Oct 2025.,1200,INR,1200.0,15 Oct 2025,0,wedding
Save Rs. 10000 for gift in over the next 3 months.,10000,INR,10000.0,over the next 3 months,90,gift
Need 50000 for trip by 31 Dec 2025.,50000,INR,50000.0,31 Dec 2025,64,trip
Gotta save 1200 for tuition ASAP.,1200,INR,1200.0,by 15 Oct 2025,,tuition
I need Rs. 50000 by in 10 days to buy a bike.,50000,INR,50000.0,in 10 days,10,bike
Can I save Rs. 5000 over the next by 15 Oct 2025 for vacation?,5000,INR,5000.0,by 15 Oct 2025,,vacation
I need 5000 by 25-12-2025 to buy a phone.,5000,INR,5000.0,25-12-2025,58,phone
I need Rs. 25000 by over the next 3 months to buy a groceries.,25000,INR,25000.0,over the next 3 months,90,groceries
"Want to set aside 2,500 for deposit next this summer.",2500,INR,2500.0,this summer,,deposit
I'm aiming to save 500 in in 5 months for wedding.,500,INR,500.0,in 5 months,150,wedding
Planning to put Rs. 2500 towards my savings within Oct 15 2025.,2500,INR,2500.0,Oct 15 2025,0,savings
Save 25k for savings in within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,savings
Planning to put ₹100000 towards my gift within in 6 months.,100000,INR,100000.0,in 6 months,180,gift
Save twenty five thousand rupees for trip in within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,trip
Save $2500 for gift in by the end of December.,2500,USD,2500.0,by the end of December,,gift
Can I save 25000 over the next in 6 months for tuition?,25000,INR,25000.0,in 6 months,180,tuition
"Planning to put 10,000 towards my gift within 1 Jan 2026.",10000,INR,10000.0,1 Jan 2026,65,gift
Want to set aside ₹500 for gift next Oct 15 2025.,500,INR,500.0,Oct 15 2025,0,gift
I need Rs. 100000 by by the end of December to buy a deposit.,100000,INR,100000.0,by the end of December,,deposit
Want to set aside Rs. 5000 for wedding next by 15 Oct 2025.,5000,INR,5000.0,by 15 Oct 2025,,wedding
I need 10000 by in 10 days to buy a bike.,10000,INR,10000.0,in 10 days,10,bike
I'm aiming to save 25k in Oct 15 2025 for phone.,25000,INR,25000.0,Oct 15 2025,0,phone
I'm aiming to save Rs. 25000 in 25-12-2025 for groceries.,25000,INR,25000.0,25-12-2025,58,groceries
Want to set aside $5000 for mobile next within 2 weeks.,5000,USD,5000.0,within 2 weeks,14,phone
Want to set aside ₹1200 for deposit next July 2026.,1200,INR,1200.0,July 2026,246,deposit
Can I save $1200 over the next by the end of December for laptop?,1200,USD,1200.0,by the end of December,,laptop
I need 2500 by 1 Jan 2026 to buy a car.,2500,INR,2500.0,1 Jan 2026,65,car
I'm aiming to save 50000 in within 2 weeks for bike.,50000,INR,50000.0,within 2 weeks,14,bike
Need $1200 for tuition by 1 Jan 2026.,1200,USD,1200.0,1 Jan 2026,65,tuition
I need ₹1200 by in 5 months to buy a gift.,1200,INR,1200.0,in 5 months,150,gift
Want to set aside 50000 for laptop next by 15 Oct 2025.,50000,INR,50000.0,by 15 Oct 2025,,laptop
I'm aiming to save Rs. 500 in by the end of December for phone.,500,INR,500.0,by the end of December,,phone
Save 50000 for rent in next year.,50000,INR,50000.0,next year,365,rent
Want to set aside 100000 for car next 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,car
Save $100000 for medical in this summer.,100000,USD,100000.0,this summer,,medical
Planning to put $25000 towards my phone within over the next 3 months.,25000,USD,25000.0,over the next 3 months,90,phone
Want to set aside ₹100000 for laptop next 25-12-2025.,100000,INR,100000.0,25-12-2025,58,laptop
Save Rs. 1200 for rent in Oct 15 2025.,1200,INR,1200.0,Oct 15 2025,0,rent
I'm aiming to save 50k in July 2026 for smartphone.,50000,INR,50000.0,July 2026,246,phone
I'm aiming to save $50000 in in 6 months for rent.,50000,USD,50000.0,in 6 months,180,rent
Can I save Rs. 10000 over the next 15 Oct 2025 for phone?,10000,INR,10000.0,15 Oct 2025,0,phone
"Planning to put 50,000 towards my rent within next year.",50000,INR,50000.0,next year,365,rent
Gotta save $25000 for vacation ASAP.,25000,USD,25000.0,within 2 weeks,14,vacation
Planning to put $10000 towards my groceries within by 15 Oct 2025.,10000,USD,10000.0,by 15 Oct 2025,,groceries
I'm aiming to save 25000 in in 5 months for laptop.,25000,INR,25000.0,in 5 months,150,laptop
Save Rs. 10000 for gift in this summer.,10000,INR,10000.0,this summer,,gift
Want to set aside 100k for emergency fund next in 10 days.,100000,INR,100000.0,in 10 days,10,emergency fund
I'm aiming to save Rs. 50000 in 25-12-2025 for deposit.,50000,INR,50000.0,25-12-2025,58,deposit
Planning to put $500 towards my rent within Oct 15 2025.,500,USD,500.0,Oct 15 2025,0,rent
Want to set aside 25000 for medical next within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,medical
Save Rs. 500 for bike in ASAP.,500,INR,500.0,ASAP,7,bike
"Can I save 10,000 over the next 31 Dec 2025 for wedding?",10000,INR,10000.0,31 Dec 2025,64,wedding
Want to set aside Rs. 5000 for wedding next 1 Jan 2026.,5000,INR,5000.0,1 Jan 2026,65,wedding
Can I save $50000 over the next July 2026 for savings?,50000,USD,50000.0,July 2026,246,savings
I need $2500 by July 2026 to buy a phone.,2500,USD,2500.0,July 2026,246,phone
Save ₹100000 for tuition in 25-12-2025.,100000,INR,100000.0,25-12-2025,58,tuition
I'm aiming to save 10000 in by the end of December for car.,10000,INR,10000.0,by the end of December,,car
Need 500 for rent by 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,rent
Save $100000 for tuition in over the next 3 months.,100000,USD,100000.0,over the next 3 months,90,tuition
Save 50k for emergency fund in in 5 months.,50000,INR,50000.0,in 5 months,150,emergency fund
Gotta save 100k for rent ASAP.,100000,INR,100000.0,25-12-2025,58,rent
I need Rs. 500 by July 2026 to buy a vacation.,500,INR,500.0,July 2026,246,vacation
I need 25k by this summer to buy a emergency fund.,25000,INR,25000.0,this summer,,emergency fund
Save ₹50000 for rent in 1 Jan 2026.,50000,INR,50000.0,1 Jan 2026,65,rent
Planning to put ₹500 towards my gift within 15 Oct 2025.,500,INR,500.0,15 Oct 2025,0,gift
"Want to set aside 50,000 for bike next next year.",50000,INR,50000.0,next year,365,bike
Can I save ₹1200 over the next in 5 months for savings?,1200,INR,1200.0,in 5 months,150,savings
Can I save ten thousand over the next in 10 days for medical?,10000,INR,10000.0,in 10 days,10,medical
Want to set aside 25000 for savings next within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,savings
Save $2500 for emergency fund in within 3 weeks.,2500,USD,2500.0,within 3 weeks,21,emergency fund
Want to set aside Rs. 100000 for mobile next next year.,100000,INR,100000.0,next year,365,phone
"Can I save 5,000 over the next in 10 days for medical?",5000,INR,5000.0,in 10 days,10,medical
"I'm aiming to save 5,000 in next year for rent.",5000,INR,5000.0,next year,365,rent
Gotta save 500 for medical ASAP.,500,INR,500.0,Oct 15 2025,0,medical
Save 10k for vacation in July 2026.,10000,INR,10000.0,July 2026,246,vacation
Want to set aside 25000 for bike next 25-12-2025.,25000,INR,25000.0,25-12-2025,58,bike
Can I save 10k over the next Oct 15 2025 for car?,10000,INR,10000.0,Oct 15 2025,0,car
Save $50000 for medical in next year.,50000,USD,50000.0,next year,365,medical
Save $100000 for laptop in in 5 months.,100000,USD,100000.0,in 5 months,150,laptop
